Timestamp,Reviewer name,Example name,Example URL,How many lines long is the example?,Please select the programming concepts used in this example.,Please select the development and programming concepts this example demonstrates well.,"Copy and past the code into this analyzer:  https://editor.p5js.org/cfoss/full/T7fRjDnjW
Paste the output text here. Check for errors and edit as needed.","From the list above, which items are a clearly demonstrated focus of this example?","Please select all tags that describe this example (including its category, themes, end goal, etc.).","If there are any additional terms that could be used as tags to describe this example, list them here:",What senses are required to fully engage with what the sketch renders?,Is/are the color contrast(s) in the resulting render high enough so that the visitor can clearly understand what is being demonstrated? (Use the WebAIM Color Contrast checker at WCAG AA requirements.),"If there is a visual render, is the resulting render animated?","If there is a visual render and it is animated, does the animation automatically start when the page loads?","If there is a visual render and it is animated, does the render produce quick flashing lights? (See WCAG 2.3.1 for more information.)","If you have any additional notes on accessibility, include them here.",Is there a paragraph section above the example sketch?,Use the Hemmingway App to evaluate the reading level of the intro paragraph.,"If the paragraph contains any dev terms or concepts that should link to any p5.js Reference pages and/or external assisting content, such as MDN docs or W3C docs, please copy and paste the term or concept in the text input below.",Note any typos or spelling errors in the introductory paragraph.,"If the paragraph includes any content that does not read as both friendly & formal, note it here.","If the paragraph includes any content that does not translate well between generations and cultures, note it here.","If the paragraph includes any irrelevant/distracting content, note it here.","If you have any additional notes about the introduction paragraph, include them here.",How would you rate the number of comments in terms of assisting the reader through the code?,Note any typos or spelling errors in the comments.,"If the comments include any content that does not read as both friendly & formal, note the line number and content here.","If the comments include any content that does not translate well between generations and cultures, note the line number and content here.","If the comments include any irrelevant/distracting content, note the line number and content here.","If you have any additional notes about the comments, include them here.","What programming techniques or parts of the API, if any, do not need to be included in this example?",How fragile is the example with change?,"If you have any additional notes about the quality of the demonstration, include them here.",Are any variable and/or function names abbreviated?,How clear and descriptive are the names for variables and defined functions?,Does it use prototype syntax?,Are any variables declared using the var keyword?,"If there is anything about the code itself that appears out of date or could be better implemented and is not captured by the questions above, note that here.","Is the ""this"" keyword used?",Is the const keyword used?,What units are used for angles?,"If angles in degrees are used, which of these functions are called?",How many global variables are declared?,How many local variables are declared?,How many object properties (excluding functions) are declared?,How many object methods are declared (including constructor)?,Does it use arrow functions?,"Does it use variable increment/decrement/relative assignment operators?
",How would you label the difficulty of this example?,"If you have any additional notes about the skill level, include them here.","In your opinion, how would you rate the helpfulness of this example to someone learning creative coding through p5?","If you have any additional notes on this example not captured by the previous questions, include them here."
10/28/2023 15:31:00,Amy Chen,Mouse 1D,https://p5js.org/examples/input-mouse-1d.html,18,none of the above,none of the above,"background, CENTER, createCanvas, draw, fill, height, map, mouseX, noStroke, rect, rectMode, setup, width","mouseX, CENTER, rectMode",interactivity,,"Visual, Interactive/Kinesthetic",Yes,Yes,No,No,,No,,,,,,,,1,,,,,"Line 12, 15 - Adding comments that explain how 'mouseX' controls the rectangles",,2,,Yes,3,No,No,r1 and r2 should be renamed to explain their functionality more. (rect1 & rect2 might be more helpful),No,No,N/A,N/A or neither,0,2,0,0,No,No,Beginner,,9,
10/28/2023 15:36:27,Amy Chen,Mouse 2D,https://p5js.org/examples/input-mouse-2d.html,15,custom variables,none of the above,"background, CENTER, createCanvas, draw, fill, height, mouseX, mouseY, noStroke, rect, rectMode, setup, width","mouseX, rectMode, CENTER",interactivity,,Visual,No,Yes,No,No,,No,,,,,,,,1,,,,,Line 10 & 14 - Adding comments on how the mouse position affects the size within the code would be helpful. ,,2,,Yes,5,No,No,,No,No,N/A,N/A or neither,0,2,0,0,No,No,Beginner,,9,
10/29/2023 20:21:20,Amy Chen,Mouse Functions,https://p5js.org/examples/input-mouse-functions.html,62,"if/else, custom variables",custom variables,"background, createCanvas, draw, fill, height, mouseDragged, mousePressed, mouseReleased, mouseX, mouseY, RADIUS, rect, rectMode, setup, stroke, strokeWeight, width","mouseDragged, mousePressed, mouseReleased, mouseX, mouseY,",interactivity,,"Visual, Interactive/Kinesthetic",No,,,,,No,,,,,,,,3,,,,,"Line 42, 53 - Suggestion - Clarification on what these functions do would be helpful. ",,2,The part that is remixable is the for the graphics. ,Yes,4,No,No,bx & by can be renamed to something that clarifies their purpose more?,No,No,N/A,N/A or neither,7,0,0,0,No,No,Beginner,,9,"Within the example, if the box is dragged off the screen, the example must be reset. "
10/29/2023 20:43:46,Amy Chen,Mouse Press,https://p5js.org/examples/input-mouse-press.html,15,if/else,if/else,"background, createCanvas, draw, line, mouseIsPressed, mouseX, mouseY, setup, stroke, strokeWeight","draw, line, mouseIsPressed, mouseX, mouseY",interactivity,,"Visual, Interactive/Kinesthetic",No,No,,,"Using the imagery of the '+' is hard to see, maybe using a ellipse would be more accessible.  ",No,,,,,,,,1,,,,,Include simple comments before lines 7 and 13 to explain what they are doing would be helpful. ,,1,,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,No,Beginner,,10,
10/29/2023 20:37:24,Amy Chen,Mouse Signals,https://p5js.org/examples/input-mouse-signals.html,45,"if/else, for loop, custom variables",for loop,"background, createCanvas, draw, fill, height, line, mouseIsPressed, mouseX, mouseY, noStroke, point, rect, setup, stroke, strokeWeight, width","mouseIsPressed, mouseX, mouseY,","animation, interactivity",,"Visual, Interactive/Kinesthetic","The imagery that is created is a single line instead of an image, so it may not be passable. ",Yes,No,No,,Yes,Grade 5 and below,,,,,,The second sentence can be broken down into three sentences for clarity. ,2,,,,,"Comments on lines 13, 22, 32 to explain their function would be helpful. ",,4,,Yes,3,No,No,"xvals, yvals, bvals, can be renamed to something that explains their naming better. ",No,No,N/A,N/A or neither,3,0,0,0,No,Yes,Intermediate,Comments going over how the mouse positions are being inputted into the for loops would make this examples easier to understand. ,7,"When loading this example on the editor page, mouseX bleeds into the bottom row. "
11/1/2023 20:20:15,Lance Cole,Moving On Curves,https://p5js.org/examples/motion-moving-on-curves.html,42,"if/else, custom variables, method calling","if/else, custom variables, method calling","createCanvas, draw, ellipse, fill, height, mousePressed, mouseX, mouseY, noStroke, pow, rect, setup, width","draw, ellipse, fill, height, mousePressed, mouseX, mouseY, noStroke, pow, rect, width","animation, math, interactivity",,"Visual, Interactive/Kinesthetic","The white ball is ifne on the grey background, but the afterglow trails get very hard to see and fail WebAIM's contrast check.",Yes,Yes,No,,Yes,Grade 5 and below,"ellipse, any math content related to curves and exponents",,,,,,3,,,,,"The globals are well detailed, but the comments stop entirely for the actual meat and potatoes of the patch, and especially in the draw function, we should have a line-by-line-explanation of the math happening on draw and mousePressed.",,1,,Yes,3,No,No,,No,No,N/A,N/A or neither,11,0,0,0,No,No,Intermediate,"The actual movement of the ball is fairly simple, but the math involved in calculating the curve to travel can definitely be challenging, especially to those not as well versed in mathematics and algebra concepts.",6,
10/29/2023 16:04:19,Caleb,Multiple Lights,https://p5js.org/examples/3d-multiple-lights.html,35,custom variables,none of the above,"ambientLight, ambientMaterial, background, box, createCanvas, describe, directionalLight, draw, frameCount, height, mouseX, mouseY, pointLight, pop, push, rotateX, rotateZ, setup, specularMaterial, sphere, spotLight, translate, WEBGL, width","ambientLight, ambientMaterial, directionalLight, pointLight, specularMaterial, spotLight, WEBGL","3D, animation",,"Visual, Interactive/Kinesthetic",No,Yes,Yes,No,,Yes,Grade 5 and below,,,,,"""could be"" seems like odd wording, rather than ""can be"" or ""One sketch may use all types of lights""",,4,,,,,,,2,,Yes,2,No,No,,No,No,Radians,N/A or neither,0,2,0,0,No,No,Intermediate,,7,
10/27/2023 10:07:30,Caleb,Multiple Objects,https://p5js.org/examples/objects-multiple-objects.html,45,"custom variables, custom classes, method calling, object property assignment","custom classes, object property assignment","background, createCanvas, draw, ellipse, height, random, setup, width",none,"animation, simulation",Object Oriented Programming,Visual,Yes,Yes,Yes,No,"The animation is so subtle, I would if some users may have a difficult time clearly perceiving it",Yes,Grade 6,Classes: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Classes,"Change ""it"" to ""them"" since it refers to the multiple objects, rather than the single class",,,"""Jitter class"" reads as though that is an established term. The purpose of the class could instead be described.",Too short,2,,,,,,,2,,No,3,No,No,,Yes,No,N/A,N/A or neither,4,0,4,3,No,Yes,Intermediate,,6,
10/29/2023 15:42:12,Darren Kessner,Multiple Particle Systems,https://p5js.org/examples/simulate-multiple-particle-systems.html,133,"if/else, for loop, custom variables, object literal, custom classes, method calling","if/else, for loop, custom variables, custom classes, method calling, object property assignment","background, CENTER, copy, createCanvas, createVector, draw, ellipse, fill, height, int, line, mag, mousePressed, mouseX, mouseY, pop, push, random, rotate, setup, splice, stroke, strokeWeight, text, textAlign, textSize, translate, width",createVector,"animation, math, interactivity, simulation",physics,"Visual, Interactive/Kinesthetic",Yes,Yes,No: requires user mouse click,Flashing if user creates a lot of particle systems.,,Yes,Grades 7 and above,"Particle systems (in Nature of Code), inheritance and polymorphism",,,,,,5,,,,,,,3,"Nice demo, but rather advanced",No,5,Yes,No,,No,No,Radians,both,1,2,5,13,No,Yes,Advanced,,7,
10/28/2023 1:43:07,Lance Cole,New - Dot Matrix,https://editor.p5js.org/malayvasa2001/sketches/nDxraaJ8u,63,"for loop, custom variables, custom functions, object literal, custom classes, method calling, object property assignment","for loop, custom variables, custom functions, object literal, custom classes, method calling, object property assignment","angleMode, background, blue, CENTER, circle, createCanvas, DEGREES, dist, draw, fill, get, green, height, loadImage, loadPixels, map, mouseX, mouseY, noStroke, pop, preload, push, rectMode, red, round, setup, sin, width","angleMode, background, blue, CENTER, circle, createCanvas, DEGREES, dist, draw, fill, get, green, height, loadImage, loadPixels, map, mouseX, mouseY, noStroke, pop, preload, push, rectMode, red, round, setup, sin, width","animation, interactivity",,"Visual, Interactive/Kinesthetic","Constrast gets a bit lost with the darker parts of the plant image, I think",Yes,Yes,No,,No,,,,,,,,1,,,,,,,1,I'd try to clean up some of the magic numbers going on in the setup() part of the patch.,Yes,3,No,No,"Variables like a, h, GridEye, c, r, etc, aren't obvious at all what they're meant to represent, especially with the complete lack of comments in the sketch.",No,No,N/A,N/A or neither,6,7,0,0,No,Yes,Intermediate,,4,"The code itself makes enough sense on first glance, but the complete lack of documentation or even example page makes it much harder to parse than it needs to be."
10/28/2023 0:38:37,Lance Cole,New - Pixel Array Manipulation,https://editor.p5js.org/malayvasa2001/sketches/YTy8LlSFq,46,"for loop, custom variables, method calling","for loop, custom variables, method calling","background, blue, CENTER, createCanvas, draw, fill, get, green, height, image, loadImage, map, noLoop, noStroke, preload, rectMode, red, round, setup, square, tint, width","background, blue, CENTER, createCanvas, draw, fill, get, green, height, image, loadImage, map, noLoop, noStroke, preload, rectMode, red, round, setup, square, tint, width",data visualization,"image, pixels, pixel manipulation",Visual,"Some parts do, some parts don't. Mostly the darker brown parts of the image against the darker sky background.",No,No,No,,No,,,,,,,,4,,,,,,,1,,No,5,No,No,,No,No,N/A,N/A or neither,1,5,0,0,No,Yes,Intermediate,,7,
11/1/2023 22:13:16,Lance Cole,New - Reflection Simple,https://editor.p5js.org/malayvasa2001/sketches/jtmKm8sRx,32,"if/else, custom variables, method calling","if/else, custom variables, method calling","background, color, colorMode, createCanvas, draw, ellipse, fill, height, HSB, noStroke, random, setup, width","color, colorMode, createCanvas, draw, ellipse, fill, height, HSB, random, setup, width",animation,,Visual,"We have random colors, so it's a bit hard/tedious to run through the checker, but I assume the darker random colors would be problematic on the black background.",Yes,Yes,No,,No,,,,,,,,1,,,,,,,1,,Yes,4,No,No,"For the most part the var names are fine, but it wasn't immediately apparent to me just scanning the patch for the first time that the col variable ended up being for color, or what r immediately stands for. I personally would just reword the var to be named color and r to radius (I assume r is a standin for radius) since the rest of the vars are spelled out.",No,No,N/A,N/A or neither,6,0,0,0,No,Yes,Beginner,,6,"With some comments in the code and some of the variables renamed, much of the sketch's function would be demystified for a new learner (especially for one learning on their own), and could be a good entry level sketch for someone."
11/1/2023 22:38:27,Lance Cole,New - Wave Maker,https://editor.p5js.org/malayvasa2001/sketches/zNeDx6t7M,37,"for loop, ternary expression, custom variables, method calling","for loop, ternary expression, custom variables, method calling","abs, background, CENTER, colorMode, createCanvas, draw, fill, height, HSL, map, mouseX, noStroke, PI, pop, push, rect, rectMode, rotate, setup, sin, translate, width","abs, CENTER, colorMode, draw, fill, height, HSL, map, mouseX, noStroke, PI, pop, push, rect, rectMode, rotate, setup, sin, translate, width","animation, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,"The wave motion itself doesn't, but moving the mouse around in the canvas can easily create fast moving images and colors, which may be problematic.",,No,,,,,,,,1,,,,,,,1,"From console: 
""
🌸 p5.js says: you have used a p5.js reserved function ""phase"" make sure you change the function name to something else.

+ More info: https://p5js.org/reference/#/p5/phase 
""

It's recommended to change the phase local to...something else other than phase.",No,5,No,No,"The names are fine, but stand to have their function explained further in some comments (which the sketch currently has none of).",No,No,N/A,N/A or neither,6,3,0,0,No,Yes,Intermediate,"Needs a solid comment explanation of code, but the code itself isn't the worst for a beginner/intermediate.",6,
10/27/2023 14:19:15,Amy Chen,No Loop,https://p5js.org/examples/structure-no-loop.html,25,none of the above,none of the above,"background, createCanvas, draw, height, line, noLoop, setup, stroke, width",noLoop,none of the above,,Visual,Yes,,,,,No,,,,,,,,4,,,,,Before Line 9 - Suggestion: add a comment that states that commenting out line 9 can act as a toggle to demonstrate its function more effectively,,1,,No,5,No,No,,No,No,N/A,N/A or neither,1,0,0,0,No,No,Beginner,,9,Within the sentence / description including that one can comment out noLoop() to see its purpose would be beneficial 
10/29/2023 11:37:24,Darren Kessner,Noise 2D : Editor Link,https://editor.p5js.org/malayvasa2001/sketches/vMJrphk9M,24,"for loop, custom variables","for loop, custom variables","background, ceil, CENTER, createCanvas, draw, File, fill, height, line, mouseX, mouseY, Noise, noise, noiseDetail, noStroke, setup, text, textAlign, width","noise, noiseDetail, text","animation, math, interactivity, simulation",,"Visual, Interactive/Kinesthetic",Yes,Animation depends on mouse movement,Yes,No,,No,,,,,,,,2,,,,,Could use more comments to explain how characters are obtained randomly from the 'tex' string.,Math.ceil(),3,,Yes,1,No,Yes,The formulas for obtaining the noise parameter from mouseX/mouseY are mysterious.  How the random choice of letter is made can be clearer.,No,No,N/A,N/A or neither,2,3,0,0,No,Yes,Intermediate,"Interesting demo of noise(); should be clearer about the random value -> random character conversion.
",6,
10/29/2023 11:49:09,Darren Kessner,Noise 3D : Editor Link,https://editor.p5js.org/malayvasa2001/sketches/lk1oVQzbx,40,"for loop, custom variables","for loop, custom variables","background, colorMode, createCanvas, draw, floor, height, HSB, line, noise, PI, pop, push, rotate, setup, stroke, strokeWeight, translate, TWO_PI, width","noise, colorMode, HSB, push/pop, translate, rotate","animation, math, simulation",,Visual,color changes randomly -- contrast could be increased (but probably ok as is),Yes,Yes,Somewhat flashing from the random animation,,No,,,,,,,,1,,,,,,,3,The example demonstrates both random color via HSB and random rotation via push/pop/translate/rotate.  It's a very nice engaging example though.,Yes,1,No,Yes,,No,No,Radians,N/A or neither,5,4,0,0,No,Yes,Advanced,Advanced due to the coordinate transformation code.,7,
10/26/2023 11:09:36,Darren Kessner,Noise Wave,https://p5js.org/examples/math-noise-wave.html,37,"for loop, custom variables","for loop, custom variables","background, beginShape, CLOSE, createCanvas, draw, endShape, fill, height, map, noise, setup, vertex, width","noise, vertex, begin/endShape","animation, simulation",,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,"noise(), maybe vertex/beginShape/endShape",,,,,,5,,,,,,,4,"For 2D Perlin noise, I think the correlated randomness ""in space"" is easier to see than ""in time"".  I think a grid-based visual demo would be better than the time-evolving demo.",Yes,4,No,No,,No,No,N/A,N/A or neither,1,2,0,0,No,Yes,Intermediate,,5,
10/26/2023 10:55:13,Darren Kessner,Noise1D,https://p5js.org/examples/math-noise1d.html,27,custom variables,custom variables,"background, createCanvas, draw, ellipse, fill, height, noise, noStroke, rect, setup, width",noise,"animation, simulation",,Visual,Yes,Yes,Yes,Yes,,Yes,Grade 5 and below,noise(),,,,,,5,,,,,,,2,This is an interesting demo of Perlin noise with the parameter changing in time.  I think Perlin noise is better illustrated with a demo of the parameters changing in space.,Yes,4,No,No,,No,No,N/A,N/A or neither,2,1,0,0,No,Yes,Intermediate,"The alpha blending shows the correlation in the values produced by noise(), but there is no explanation about correlated random values and why this is different from random().",4,
10/26/2023 11:41:33,Darren Kessner,Noise2D,https://p5js.org/examples/math-noise2d.html,44,"for loop, custom variables, custom functions","for loop, custom functions","background, createCanvas, draw, fill, height, loadPixels, mouseX, mouseY, noise, noiseDetail, pixels, setup, text, textSize, updatePixels, width","noise, pixels, load/updatePixels, noiseDetail","animation, simulation",,"Visual, Interactive/Kinesthetic","Noise values are mapped to greyscale values, so there is varying contrast.",Yes,Animation depends on user mouse movement,No,,Yes,Grades 7 and above,noise(),,,,,,4,,,,,,,3,"The demo is broken for computers with pixelDensity() > 1 (e.g. my MacBook).  It produces small, duplicate noise rects.",No,5,No,No,,No,No,N/A,N/A or neither,1,4,0,0,No,Yes,Advanced,Pixel manipulation should probably be an advanced topic.,7,This can be a good advanced example of pixel manipulation and noiseDetail.  I recommend including some explanation or reference to noiseDetail.  The example needs to be fixed to accommodate different pixelDensity() screens.
10/26/2023 11:58:42,Darren Kessner,Noise3D,https://p5js.org/examples/math-noise3d.html,43,"for loop, custom variables","for loop, custom variables","background, createCanvas, draw, frameRate, height, noise, noiseDetail, point, setup, stroke, width","noise, noiseDetail","animation, simulation",,Visual,Noise values are visualized as grayscale / contrast.,Yes,Yes,No,"I recommend user interaction to move to next render, instead of frameRate(20)",Yes,Grades 7 and above,noise,,,,,,5,"lines 25, 28:  ""noice"" -> ""noise""",,,,,,4,Either the frameRate(20) or the calculation of noise per pixel freezes my browser.  The re-render should be on user input (key/mouse).,Yes,4,No,No,,No,No,N/A,N/A or neither,4,2,0,0,No,Yes,Intermediate,,8,"Overall good example for demonstrating 3D noise.  The 3rd dimension/parameter (time) should be changed by user input though, not frameRate(20)"
11/1/2023 2:18:44,Lance Cole,Non Orthogonal Reflection,https://p5js.org/examples/motion-non-orthogonal-reflection.html,106,"if/else, custom variables, method calling","if/else, custom variables, method calling","createCanvas, createVector, draw, ellipse, fill, height, line, normal, noStroke, quad, random, rect, set, setup, stroke, Vector, width","createVector, draw, ellipse, fill, line, normal, noStroke, quad, random, rect, set, stroke, Vector, width",animation,,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,,,,,,Might be good to give a short summary of the sketch in the p5 page and still link to the original processing example as well.,5,,,,,"Comments are plentiful, although they do assume an understanding of things like vectors, normals, and the like. Probably a good idea to link to some further websites explaining those if we don't within the intro paragraph.",,1,One interesting thing I immediately noticed is that setting speed to negative values ends up with the ball falling through the floor. I assume this has something to do with speed screwing up some calculations with the vector multiplications and subsequent position/velocity checks.,Yes,4,No,No,,No,No,N/A,N/A or neither,6,4,0,0,No,No,Intermediate,"Intermediate with some knowledge of linear algebra, much harder otherwise.",7,
10/27/2023 18:59:58,Amy Chen,Numbers,https://p5js.org/examples/data-numbers.html,23,custom variables,custom variables,"background, createCanvas, draw, height, line, setup, stroke, width"," draw, height, line, stroke, width",animation,,Visual,Yes,Yes,No,No,Make the stroke line bolder for accessibility. ,Yes,Grade 6,,,,,,,3,,,,,Line 17 + 20 - Explain what the code is doing here,,1,,Yes,5,No,No,,No,No,N/A,N/A or neither,2,0,0,0,No,No,Beginner,,10,
10/20/2023 15:16:56,Caleb,Objects,https://p5js.org/examples/objects-objects.html,33,"custom variables, custom classes, method calling",custom classes,"background, createCanvas, draw, ellipse, height, random, setup, width",none,animation,object-oriented programming,Visual,Yes,Yes,Yes,No,,Yes,Grade 5 and below,No,,"The term ""instantiate"" could use an explanation
The class name ""Jitter"" could use elaboration",,,Could use more detailed explanation,2,,,,,Could use much more documentation,,2,"My opinion is this is not a very helpful demonstration of OOP. For someone unfamiliar with OOP, this just looks like a needlessly complicated way to implement this. I would like to see a better demonstration of the benefits of OOP.",No,3,No,No,,Yes,No,N/A,N/A or neither,1,0,4,3,No,Yes,Intermediate,,5,
10/27/2023 10:34:06,Caleb,Objects 2,https://p5js.org/examples/objects-objects-2.html,59,"if/else, for loop, custom variables, custom classes, method calling, object property assignment",none of the above,"abs, background, createCanvas, draw, fill, height, mouseX, mouseY, noStroke, rect, setup, width",none,"animation, math, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,No,Clustered thin lines that may be difficult to clearly see,Yes,Grade 6,Classes:  https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Classes,,,,"The first sentence says that this was ported but does not indicate from where. This does not seem like the most important information to share first, and the creator credit could be moved to the end.",,2,,"Abbreviations on lines 31, 32, and 33",,,,,4,,Yes,2,No,No,Missing/incorrect indentation,Yes,No,N/A,N/A or neither,4,2,6,3,No,Yes,Advanced,,1,"This requires that reader be comfortable with a wide range of programming and math concepts, and to that advanced reader, I'm not seeing what this example offers to them. If the reader understands this, what would it help them with?"
10/24/2023 18:38:07,Darren Kessner,Operator Precedence,https://p5js.org/examples/math-operator-precedence.html,42,"if/else, for loop",for loop,"background, createCanvas, height, line, noFill, rect, setup, stroke, width","line, rect",math,language syntax,Visual,No,No,,,contrast can be increased,Yes,Grades 7 and above,,,,,,"The paragraph includes the statement ""A table of operator precedence follows below."" 

The ""table"" is actually comments in the code example, which is fine, but the intro paragraph could be more clear.",5,,,,,This example is not very helpful nor especially illustrative of the concepts.  But the comments are good and explain what is meant in the code.,,3,"I think the concepts of precedence and parentheses can be better illustrated in the visual render.  For example, use a rectangular region for the &&/|| example.  And something related to adding rectangular areas for operator precedence.",No,5,No,No,,No,No,N/A,N/A or neither,0,1,0,0,No,Yes,Beginner,"The comments explain the concepts, but the example itself could be improved.",5,
10/29/2023 17:16:49,Caleb,Orbit Control,https://p5js.org/examples/3d-orbit-control.html,32,"if/else, for loop",none of the above,"background, box, cone, cos, createCanvas, draw, normalMaterial, orbitControl, PI, pop, push, setup, sin, translate, WEBGL, width",orbitControl,"3D, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,No,No,,Yes,Grade 5 and below,,,,,,"Missing information on controls: left + right mouse button for panning, scroll wheel for zooming",2,,,,,,"for loop, if statement, modulus operator, normalMaterial",3,,Yes,2,No,No,,No,No,Radians,N/A or neither,0,5,0,0,No,Yes,Intermediate,,4,
10/29/2023 10:57:52,Darren Kessner,Parametric Equations,https://p5js.org/examples/math-parametric-equations.html,37,"for loop, custom variables, custom functions","for loop, custom variables, custom functions","background, cos, createCanvas, draw, height, line, setup, sin, stroke, strokeWeight, translate, width","sin, cos","animation, math",,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,"sin, cos",,,,"""The inspiration was taken from the YouTube channel of Alexander Miller.""","The text could be more precise: ""A parametric equation is where x and y coordinates are both written in terms of another letter. This is called a parameter and is usually given in the letter t or θ.""",5,,,,,,The parametric equations in the example should be simpler (they involve multiple trig functions).  This example should use a simple polar equation (e.g. rose curve or limacon) that can be explained in the comments.,4,The example can be much simplified.,No,5,No,No,,No,No,Radians,N/A or neither,1,1,0,0,No,Yes,Advanced,"This should be an intermediate example (for the math), but beginner for the coding.  But the math equations are overly complicated and not explained.",4,
10/29/2023 13:16:20,Darren Kessner,Parametric Equations (Simple) : Editor Link,https://editor.p5js.org/malayvasa/sketches/7oeYm1cPy,32,custom variables,custom variables,"angleMode, background, circle, colorMode, cos, createCanvas, DEGREES, draw, fill, height, HSB, noStroke, setup, sin, width","sin, cos","animation, math",,Visual,"Contrast is high enough for the main movement, but the path contrast decays quickly",Yes,Yes,No,,No,,,,,,,,5,,,,,,  angleMode(DEGREES);,3,"This is a simpler demo of parametric equations than the Processing example (https://p5js.org/examples/math-parametric-equations.html), but it could be done with a simpler curve.",No,5,No,No,,No,No,Degrees,N/A or neither,1,2,0,0,No,Yes,Intermediate,,8,
10/29/2023 14:10:51,Darren Kessner,Particle System,https://p5js.org/examples/simulate-particle-system.html,64,"for loop, custom variables, custom functions, custom classes, method calling, object property assignment","for loop, custom variables, custom functions, custom classes, method calling, object property assignment","background, copy, createCanvas, createVector, draw, ellipse, fill, push, random, setup, splice, stroke, strokeWeight, width",createVector,"animation, math, simulation",physics,Visual,No,Yes,Yes,Particle system -- flashing is limited to small regions,,Yes,Grade 5 and below,Particle systems in Nature of Code,,,,,,5,,,,,,,3,,No,5,Yes,No,,No,No,N/A,N/A or neither,1,1,5,8,No,Yes,Advanced,Class notation would significantly simplify this example.,8,
11/2/2023 11:37:58,Darren Kessner,Particles,https://p5js.org/examples/simulate-particles.html,62,"if/else, for loop, custom variables, custom classes, method calling, object property assignment","if/else, for loop, custom variables, custom classes, method calling, object property assignment","background, circle, createCanvas, dist, draw, fill, height, line, noStroke, push, random, setup, stroke, width","circle, dist","animation, simulation",Another nice particle system example,Visual,No,Yes,Yes,No,,Yes,Grades 7 and above,,,,,,Intro could include a high-level description of the implementation of the particle system.,5,,,,,,,2,"Good demo of class notation, and array of objects.",No,5,No,No,,Yes,No,N/A,N/A or neither,1,3,5,4,No,Yes,Intermediate,Straightforward implementation of particle system as a list of objects -- intermediate/advanced.,10,
10/29/2023 17:42:15,Caleb,Passing Shader Uniforms,https://p5js.org/examples/3d-passing-shader-uniforms.html,31,"custom variables, method calling",none of the above,"createCanvas, describe, displayDensity, draw, frameCount, height, loadShader, map, mouseX, noStroke, preload, rect, setup, shader, WEBGL, width","createCanvas, describe, displayDensity, draw, frameCount, height, loadShader, map, mouseX, noStroke, preload, rect, setup, shader, WEBGL, width","3D, interactivity",,"Visual, Interactive/Kinesthetic",Difficult to determine because colors are written into shader file,Yes,Yes,No,,Yes,Grade 5 and below,,,,,,,5,,,,,Some comments could be broken into multiple lines to prevent the need for horizontal scrolling,,4,,No,5,No,No,Vertex shader prevents matrix transformations like translate from working,No,No,N/A,N/A or neither,1,0,0,0,No,No,Advanced,,6,"As with other shader examples, including the shader code itself would make this much more helpful"
10/28/2023 13:31:08,Amy Chen,Patterns,https://p5js.org/examples/drawing-patterns.html,2,custom variables,none of the above,"abs, background, createCanvas, draw, ellipse, mouseX, mouseY, pmouseX, pmouseY, setup, stroke","ellipse, mouseX, mouseY, pmouseX, pmouseY, abs",interactivity,,"Visual, Interactive/Kinesthetic",Yes,No,,,Suggestion: Increasing the size of the ellipse will make it more accessible. ,No,,,,,,,,5,,,,,,,4,,Yes,5,No,No,,No,No,N/A,N/A or neither,0,1,0,0,No,No,Beginner,,10,
11/1/2023 11:02:00,Darren Kessner,Penrose Tiles,https://p5js.org/examples/simulate-penrose-tiles.html,118,"for loop, while loop, custom variables, custom classes, method calling, object property assignment","if/else, for loop, while loop, custom classes, method calling, object property assignment","background, createCanvas, draw, height, line, noFill, PI, pop, push, rotate, setup, stroke, translate, TWO_PI, width","push, pop, rotate, translate","animation, math, simulation",,Visual,Contrast could be increased (width of lines),Yes,Yes,No,,Yes,Grades 7 and above,It should provide some reference to what Penrose Tiles are,,,,,,4,,informal: line 20,,,"Need more high-level explanation for the simulation, either in comments or in the summary.",,4,,Yes,3,Yes,No,should be updated to use class syntax,Yes,No,Radians,N/A or neither,1,3,8,6,No,Yes,Advanced,,6,"Needs links to reference, as well as high-level explanation of the code."
